"Source","Target","Weight","total_fatalities"
"AQAP: Al Qaeda in the Arabian Peninsula","AQAP: Al Qaeda in the Arabian Peninsula",3,10
"AQAP: Al Qaeda in the Arabian Peninsula","Al Amir Tribal Militia (Yemen)",1,10
"AQAP: Al Qaeda in the Arabian Peninsula","Al Arawi Tribal Militia (Yemen)",1,2
"AQAP: Al Qaeda in the Arabian Peninsula","Al Usbah Brigade",1,1
"AQAP: Al Qaeda in the Arabian Peninsula","Civilians (Yemen)",11,29
"AQAP: Al Qaeda in the Arabian Peninsula","Hadrami Elite Forces",15,47
"AQAP: Al Qaeda in the Arabian Peninsula","Houthi Movement - Ansar Allah",14,52
"AQAP: Al Qaeda in the Arabian Peninsula","Islamic State in Yemen (ISY)",79,94
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2012-2022) Hadi",107,331
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2012-2022) Hadi - Political Security Organization",4,3
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2012-2022) Hadi - Presidential Guard",1,2
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2015-2017) Houthi-Saleh",231,649
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2015-2017) Houthi-Saleh - Republican Guard",3,11
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2017-) Houthi",118,188
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2022-) Presidential Leadership Council",4,8
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2022-) Presidential Leadership Council - Presidential Guard",4,8
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2022-) Presidential Leadership Council - STC",95,68
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2022-) Presidential Leadership Council - STC Saiqa Brigades",6,8
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2022-) Presidential Leadership Council - STC Shabwani Defense Forces",52,66
"AQAP: Al Qaeda in the Arabian Peninsula","Military Forces of Yemen (2022-) Presidential Leadership Council - STC Support and Reinforcement Brigades",40,105
"AQAP: Al Qaeda in the Arabian Peninsula","Operation Restoring Hope",2,0
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2012-2022) Hadi",16,35
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2012-2022) Hadi - Prison Guards",2,1
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2012-2022) Hadi - Special Security Forces",4,20
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2015-2017) Houthi-Saleh",2,5
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2015-2017) Houthi-Saleh - Special Security Forces",4,20
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2017-) Houthi",1,1
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2017-) Houthi - Prison Guards",1,0
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2022-) Presidential Leadership Council - STC Security Belt Forces",42,111
"AQAP: Al Qaeda in the Arabian Peninsula","Police Forces of Yemen (2022-) Presidential Leadership Council - Special Security Forces",1,0
"AQAP: Al Qaeda in the Arabian Peninsula","Popular Resistance",4,6
"AQAP: Al Qaeda in the Arabian Peninsula","Private Security Forces (International)",1,0
